method,axis,level,metric,mean,std,n,unit,availability
proposed,grid_cap_multiplier,1.0,served_requests,328.475877562108,0.0,1,requests,available
proposed,grid_cap_multiplier,1.0,outside_requests,52.03537370565108,0.0,1,requests,available
proposed,grid_cap_multiplier,1.0,outside_share,0.13592292585651877,0.0,1,fraction,available
proposed,grid_cap_multiplier,1.0,mean_wait_min,42.62384051590621,0.0,1,min,available
proposed,grid_cap_multiplier,1.0,p95_wait_min,90.5089461191109,0.0,1,min,available
proposed,grid_cap_multiplier,1.0,max_wait_min,197.39043657863357,0.0,1,min,available
proposed,grid_cap_multiplier,1.0,wait_violation_rate,0.22916666666666666,0.0,1,fraction_of_hub_periods,available
proposed,grid_cap_multiplier,1.0,mean_wait_excess_min,34.2947209608329,0.0,1,min,available
proposed,grid_cap_multiplier,1.0,wait_violation,10.11899836309697,0.0,1,hub_hours,available
proposed,grid_cap_multiplier,1.0,unmet_energy_kwh,0.0,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.0,unmet,0.0,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.0,pending_requests,449.4846472482495,0.0,1,requests,available
proposed,grid_cap_multiplier,1.0,admitted_requests,328.47587756210794,0.0,1,requests,available
proposed,grid_cap_multiplier,1.0,admission_ratio,0.7307833083355378,0.0,1,fraction,available
proposed,grid_cap_multiplier,1.0,minimum_admission_ratio,0.23310889401156837,0.0,1,fraction,available
proposed,grid_cap_multiplier,1.0,peak_admission_pressure,4.289840609643893,0.0,1,pending_over_capacity,available
proposed,grid_cap_multiplier,1.0,admitted_full_service_ratio,1.0000000000000002,0.0,1,fraction,available
proposed,grid_cap_multiplier,1.0,pending_full_service_ratio,0.730783308335538,0.0,1,fraction,available
proposed,grid_cap_multiplier,1.0,pending_energy_kwh,11237.116181206238,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.0,admitted_energy_kwh,8211.8969390527,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.0,peak_queued_energy_kwh,997.4441104469365,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.0,mean_queued_energy_kwh,504.20320702558973,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.0,final_queued_energy_kwh,57.9687183060241,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.0,queue_cleared_by_end,0.0,0.0,1,boolean,available
proposed,grid_cap_multiplier,1.0,queue_clearance_period,,0.0,0,period_index,missing
proposed,grid_cap_multiplier,1.0,max_queue_vehicle_conservation_error,2.220446049250313e-16,0.0,1,hours,available
proposed,grid_cap_multiplier,1.0,max_queue_energy_conservation_error_kwh,0.0,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.0,grid_energy_kwh,7406.09408700046,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.0,peak_grid_import_kwh,1884.6950409800031,0.0,1,kWh_per_period,available
proposed,grid_cap_multiplier,1.0,pv_utilization,1.0,0.0,1,fraction,available
proposed,grid_cap_multiplier,1.0,battery_throughput_kwh,1628.2239046838185,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.0,energy_cost_gbp,1862.1711450854855,0.0,1,GBP,available
proposed,grid_cap_multiplier,1.0,mean_access_min,11.11602534872411,0.0,1,min,available
proposed,grid_cap_multiplier,1.0,p95_access_min,12.156571294098796,0.0,1,min,available
proposed,grid_cap_multiplier,1.0,mean_detour_min,2.5469857691278928,0.0,1,min,available
proposed,grid_cap_multiplier,1.0,p95_detour_min,3.6254251481535125,0.0,1,min,available
proposed,grid_cap_multiplier,1.0,outside_cost_estimate,13.538897993555434,0.0,1,GBP,available
proposed,grid_cap_multiplier,1.0,outside_mae,2.961102006444566,0.0,1,GBP,available
proposed,grid_cap_multiplier,1.0,outside_nll,0.6050978685847124,0.0,1,nll,available
proposed,grid_cap_multiplier,1.0,approx_unilateral_gain,,0.0,0,scaled_local_reward,missing
proposed,grid_cap_multiplier,1.0,centralized_reference_difference,,0.0,0,scaled_reward,missing
proposed,grid_cap_multiplier,1.0,centralized_reference_gap,,0.0,0,scaled_reward_deprecated_non_oracle_alias,missing
proposed,grid_cap_multiplier,1.0,exact_oracle_gap,,0.0,0,scaled_reward,missing
proposed,grid_cap_multiplier,1.15,return,5.378849239943966,0.0,1,scaled_reward,available
proposed,grid_cap_multiplier,1.15,profit_gbp,1771.2134453976346,0.0,1,GBP,available
proposed,grid_cap_multiplier,1.15,welfare_gbp,1771.2134453976346,0.0,1,GBP_weighted_hub_profit,available
proposed,grid_cap_multiplier,1.15,weighted_hub_profit_welfare,1771.2134453976346,0.0,1,GBP_weighted_hub_profit,available
proposed,grid_cap_multiplier,1.15,profit,1771.2134453976346,0.0,1,GBP,available
proposed,grid_cap_multiplier,1.15,served_requests,328.05124208133975,0.0,1,requests,available
proposed,grid_cap_multiplier,1.15,outside_requests,52.32701905965149,0.0,1,requests,available
proposed,grid_cap_multiplier,1.15,outside_share,0.13668474011872497,0.0,1,fraction,available
proposed,grid_cap_multiplier,1.15,mean_wait_min,43.12910891639035,0.0,1,min,available
proposed,grid_cap_multiplier,1.15,p95_wait_min,92.48412550418246,0.0,1,min,available
proposed,grid_cap_multiplier,1.15,max_wait_min,198.38789004645287,0.0,1,min,available
proposed,grid_cap_multiplier,1.15,wait_violation_rate,0.22916666666666666,0.0,1,fraction_of_hub_periods,available
proposed,grid_cap_multiplier,1.15,mean_wait_excess_min,34.81024967443119,0.0,1,min,available
proposed,grid_cap_multiplier,1.15,wait_violation,10.277737678360317,0.0,1,hub_hours,available
proposed,grid_cap_multiplier,1.15,unmet_energy_kwh,0.0,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.15,unmet,0.0,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.15,pending_requests,450.09085637747603,0.0,1,requests,available
proposed,grid_cap_multiplier,1.15,admitted_requests,328.05124208133975,0.0,1,requests,available
proposed,grid_cap_multiplier,1.15,admission_ratio,0.7288556020036413,0.0,1,fraction,available
proposed,grid_cap_multiplier,1.15,minimum_admission_ratio,0.2322090249245552,0.0,1,fraction,available
proposed,grid_cap_multiplier,1.15,peak_admission_pressure,4.3064648341075475,0.0,1,pending_over_capacity,available
proposed,grid_cap_multiplier,1.15,admitted_full_service_ratio,1.0,0.0,1,fraction,available
proposed,grid_cap_multiplier,1.15,pending_full_service_ratio,0.7288556020036413,0.0,1,fraction,available
proposed,grid_cap_multiplier,1.15,pending_energy_kwh,11252.2714094369,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.15,admitted_energy_kwh,8201.281052033495,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.15,peak_queued_energy_kwh,1004.6509123192586,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.15,mean_queued_energy_kwh,508.4983929005677,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.15,final_queued_energy_kwh,61.29347147521929,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.15,queue_cleared_by_end,0.0,0.0,1,boolean,available
proposed,grid_cap_multiplier,1.15,queue_clearance_period,,0.0,0,period_index,missing
proposed,grid_cap_multiplier,1.15,max_queue_vehicle_conservation_error,2.220446049250313e-16,0.0,1,hours,available
proposed,grid_cap_multiplier,1.15,max_queue_energy_conservation_error_kwh,0.0,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.15,grid_energy_kwh,7398.187415009489,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.15,peak_grid_import_kwh,1886.6866531321034,0.0,1,kWh_per_period,available
proposed,grid_cap_multiplier,1.15,pv_utilization,1.0,0.0,1,fraction,available
proposed,grid_cap_multiplier,1.15,battery_throughput_kwh,1625.5146896555839,0.0,1,kWh,available
proposed,grid_cap_multiplier,1.15,energy_cost_gbp,1860.4993119612284,0.0,1,GBP,available
proposed,grid_cap_multiplier,1.15,mean_access_min,11.128135502665947,0.0,1,min,available
proposed,grid_cap_multiplier,1.15,p95_access_min,12.18134655604215,0.0,1,min,available
proposed,grid_cap_multiplier,1.15,mean_detour_min,2.559256132720338,0.0,1,min,available
proposed,grid_cap_multiplier,1.15,p95_detour_min,3.6503170620375363,0.0,1,min,available
proposed,grid_cap_multiplier,1.15,outside_cost_estimate,13.538897993555434,0.0,1,GBP,available
proposed,grid_cap_multiplier,1.15,outside_mae,2.961102006444566,0.0,1,GBP,available
proposed,grid_cap_multiplier,1.15,outside_nll,0.607242154937856,0.0,1,nll,available
proposed,grid_cap_multiplier,1.15,approx_unilateral_gain,,0.0,0,scaled_local_reward,missing
