method,metric,mean,std,mean_plus_minus_std,n,unit,availability,missing_reason
ippo,peak_admission_pressure,2.688247231131545,0.0,2.68825 ± 0,3,pending_over_capacity,available,
ippo,admitted_full_service_ratio,1.0,0.0,1 ± 0,3,fraction,available,
ippo,pending_full_service_ratio,0.8303878893257558,1.3597399555105182e-16,0.830388 ± 1.35974e-16,3,fraction,available,
ippo,mean_wait_min,19.70765764885591,0.0,19.7077 ± 0,3,min,available,
ippo,p95_wait_min,51.08747968867508,8.702335715267317e-15,51.0875 ± 8.70234e-15,3,min,available,
ippo,max_wait_min,101.2948338678927,1.7404671430534633e-14,101.295 ± 1.74047e-14,3,min,available,
ippo,wait_violation_rate,0.125,0.0,0.125 ± 0,3,fraction,available,
ippo,mean_wait_excess_min,13.606190135637886,0.0,13.6062 ± 0,3,min,available,
ippo,pending_energy_kwh,9710.565323602,0.0,9710.57 ± 0,3,kWh,available,
ippo,admitted_energy_kwh,8063.535843225741,0.0,8063.54 ± 0,3,kWh,available,
ippo,unmet_energy_kwh,0.0,0.0,0 ± 0,3,kWh,available,
ippo,peak_queued_energy_kwh,584.3727119280112,0.0,584.373 ± 0,3,kWh,available,
ippo,mean_queued_energy_kwh,274.50491339604326,0.0,274.505 ± 0,3,kWh,available,
ippo,final_queued_energy_kwh,0.0,0.0,0 ± 0,3,kWh,available,
ippo,queue_cleared_by_end,1.0,0.0,1 ± 0,3,boolean,available,
ippo,queue_clearance_period,4.0,0.0,4 ± 0,3,period_index,available,
ippo,max_queue_vehicle_conservation_error,1.1102230246251562e-16,1.5096146061105633e-32,1.11022e-16 ± 1.50961e-32,3,hours,available,
ippo,max_queue_energy_conservation_error_kwh,0.0,0.0,0 ± 0,3,kWh,available,
ippo,grid_energy_kwh,7371.692806320333,1.1138989715542165e-12,7371.69 ± 1.1139e-12,3,kWh,available,
ippo,peak_grid_import_kwh,2025.4244472837172,0.0,2025.42 ± 0,3,kWh_per_period,available,
ippo,pv_utilization,1.0,0.0,1 ± 0,3,fraction,available,
ippo,battery_throughput_kwh,1514.2640895369875,0.0,1514.26 ± 0,3,kWh,available,
ippo,energy_cost_gbp,1846.1082250579136,0.0,1846.11 ± 0,3,GBP,available,
